Gene_ID,Sample_con-1,Sample_con-2,Sample_con-3,Sample_trt-1,Sample_trt-2,Sample_trt-3
pg_10000786,38,31,47,59,62,27
pg_10000787,6,1,11,23,27,5
pg_10000788,6,9,13,127,134,140
pg_1000079,84,71,112,19,10,4
pg_10000790,0,0,0,0,0,0
pg_10000791,125,93,107,362,423,323
pg_10000792,21,34,15,15,20,34
pg_10000793,10,8,5,10,3,12
pg_10000794,2658,2204,2224,162,140,220
pg_10000795,980,1003,1388,770,824,526
pg_10000797,37,22,25,189,239,240
pg_10000798,164,178,165,178,157,193
pg_10000799,1,2,1,0,0,0
pg_1000080,0,0,0,2,0,2
pg_10000801,0,0,0,0,0,0
pg_10000802,3,11,15,3,0,0
pg_10000803,0,0,0,3,12,8
pg_10000804,4,0,2,1,2,3
pg_10000805,1,0,1,0,0,4
pg_10000806,0,0,0,0,1,0
pg_10000807,0,0,0,0,0,0
pg_10000808,371,518,432,232,218,370
pg_10000809,196,151,131,120,101,129
pg_1000081,1260,1189,1430,1682,1881,911
pg_10000810,75,59,60,137,83,122
pg_10000812,0,0,0,0,1,7
pg_10000817,57,56,62,96,109,68
pg_10000818,1,0,0,0,0,0
pg_10000819,266,205,292,359,365,277
pg_1000082,281,271,328,137,90,112
pg_10000820,0,0,2,0,0,0
pg_10000821,1,1,0,1,0,1
pg_10000822,126,130,142,75,80,88
pg_10000823,93,113,110,113,133,171
pg_10000824,111,104,78,68,79,114
pg_10000825,0,1,0,0,0,0
pg_10000826,0,0,0,0,0,1
pg_10000827,855,778,965,1220,1301,932
pg_10000828,933,859,1300,1213,1452,987
pg_10000829,22,14,26,289,272,178
pg_1000083,302,279,271,362,313,347
pg_10000830,0,0,0,0,0,0
pg_10000831,37,72,53,90,62,68
pg_10000832,45,27,56,146,139,105
pg_10000835,27,17,10,21,21,9
pg_10000836,168,206,279,285,311,265
pg_10000837,833,1014,1223,2,3,1
pg_10000838,460,380,592,654,660,457
pg_10000839,388,302,306,128,141,143
pg_1000084,466,378,478,100,92,66
pg_10000840,60,46,56,75,66,79
pg_10000841,2,0,16,11,19,23
